obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.618193746924481,313.139,12,cayley,5
-7.552047795960029,-3.618193746924481,313.139,12,cayley,5
-7.552047795960029,-3.618193746924481,313.139,12,cayley,5
-7.552047795960029,-3.618193746924481,313.14,12,cayley,5
-7.552047795960029,-3.618193746924481,313.14,12,cayley,5
-7.552047795960029,-3.618193746924481,313.14,12,cayley,5
-7.552047795960029,-3.618193746924481,313.14,12,cayley,5
-7.552047795960029,-3.618193746924481,313.141,12,cayley,5
-7.552047795960029,-3.618193746924481,313.141,12,cayley,5
-7.552047795960029,-3.618193746924481,313.142,12,cayley,5
-7.552047795960029,-3.618193746924481,313.142,12,cayley,5
-7.552047795960029,-3.618193746924481,313.142,12,cayley,5
-7.552047795960029,-3.618193746924481,313.142,12,cayley,5
-7.552047795960029,-3.618193746924481,313.143,12,cayley,5
-7.552047795960029,-3.618193746924481,313.143,12,cayley,5
-7.552047795960029,-3.618193746924481,313.143,12,cayley,5
-7.552047795960029,-3.618193746924481,313.144,12,cayley,5
-7.552047795960029,-3.618193746924481,313.144,12,cayley,5
-7.552047795960029,-3.618193746924481,313.144,12,cayley,5
-7.552047795960029,-3.618193746924481,313.144,12,cayley,5
-7.552047795960029,-3.618193746924481,313.145,12,cayley,5
-7.552047795960029,-3.618193746924481,313.145,12,cayley,5
-7.552047795960029,-3.618193746924481,313.145,12,cayley,5
-7.552047795960029,-3.618193746924481,313.145,12,cayley,5
-7.552047795960029,-3.618193746924481,313.146,12,cayley,5
-7.552047795960029,-3.618193746924481,313.146,12,cayley,5
-7.552047795960029,-3.618193746924481,313.146,12,cayley,5
-7.552047795960029,-3.618193746924481,313.146,12,cayley,5
-7.552047795960029,-3.618193746924481,313.147,12,cayley,5
-7.552047795960029,-3.618193746924481,313.148,12,cayley,5
-7.552047795960029,-3.618193746924481,313.148,12,cayley,5
-7.552047795960029,-3.618193746924481,313.148,12,cayley,5
-7.552047795960029,-3.618193746924481,313.148,12,cayley,5
-7.552047795960029,-3.618193746924481,313.149,12,cayley,5
-7.552047795960029,-3.618193746924481,313.149,12,cayley,5
-7.552047795960029,-3.618193746924481,313.149,12,cayley,5
-7.552047795960029,-3.618193746924481,313.149,12,cayley,5
-7.552047795960029,-3.618193746924481,313.15,12,cayley,5
-7.552047795960029,-3.618193746924481,313.15,12,cayley,5
-7.552047795960029,-3.618193746924481,313.15,12,cayley,5
-7.552047795960029,-3.618193746924481,313.152,12,cayley,5
-7.552047795960029,-3.618193746924481,313.152,12,cayley,5
-7.552047795960029,-3.618193746924481,313.153,12,cayley,5
-7.552047795960029,-3.618193746924481,313.153,12,cayley,5
-7.552047795960029,-3.618193746924481,313.153,12,cayley,5
-7.552047795960029,-3.618193746924481,313.153,12,cayley,5
-7.552047795960029,-3.618193746924481,313.154,12,cayley,5
-7.552047795960029,-3.618193746924481,313.154,12,cayley,5
-7.552047795960029,-3.618193746924481,313.154,12,cayley,5
-7.552047795960029,-3.618193746924481,322.182,12,cayley,5
-7.552047795960029,-3.627181956133152,322.183,12,cayley,5
-7.552047795960029,-3.627181956133152,322.183,12,cayley,5
-7.552047795960029,-3.627181956133152,322.183,12,cayley,5
-7.552047795960029,-3.627181956133152,322.184,12,cayley,5
-7.552047795960029,-3.627181956133152,322.184,12,cayley,5
-7.552047795960029,-3.627181956133152,322.184,12,cayley,5
-7.552047795960029,-3.627181956133152,322.184,12,cayley,5
-7.552047795960029,-3.627181956133152,322.185,12,cayley,5
-7.552047795960029,-3.627181956133152,322.185,12,cayley,5
-7.552047795960029,-3.627181956133152,322.185,12,cayley,5
-7.552047795960029,-3.627181956133152,322.185,12,cayley,5
-7.552047795960029,-3.627181956133152,322.185,12,cayley,5
-7.552047795960029,-3.627181956133152,322.186,12,cayley,5
-7.552047795960029,-3.627181956133152,322.186,12,cayley,5
-7.552047795960029,-3.627181956133152,322.186,12,cayley,5
-7.552047795960029,-3.627181956133152,322.186,12,cayley,5
-7.552047795960029,-3.627181956133152,322.187,12,cayley,5
-7.552047795960029,-3.627181956133152,322.187,12,cayley,5
-7.552047795960029,-3.627181956133152,322.187,12,cayley,5
-7.552047795960029,-3.627181956133152,322.187,12,cayley,5
-7.552047795960029,-3.627181956133152,322.187,12,cayley,5
-7.552047795960029,-3.627181956133152,322.188,12,cayley,5
-7.552047795960029,-3.627181956133152,322.188,12,cayley,5
-7.552047795960029,-3.627181956133152,322.188,12,cayley,5
-7.552047795960029,-3.627181956133152,322.188,12,cayley,5
-7.552047795960029,-3.627181956133152,322.189,12,cayley,5
-7.552047795960029,-3.627181956133152,322.189,12,cayley,5
-7.552047795960029,-3.627181956133152,322.189,12,cayley,5
-7.552047795960029,-3.627181956133152,322.189,12,cayley,5
-7.552047795960029,-3.627181956133152,322.19,12,cayley,5
-7.552047795960029,-3.627181956133152,322.19,12,cayley,5
-7.552047795960029,-3.627181956133152,322.19,12,cayley,5
-7.552047795960029,-3.627181956133152,322.19,12,cayley,5
-7.552047795960029,-3.627181956133152,322.191,12,cayley,5
-7.552047795960029,-3.650142230344204,322.191,12,cayley,5
-7.552047795960029,-3.650142230344204,322.191,12,cayley,5
-7.552047795960029,-3.650142230344204,322.191,12,cayley,5
-7.552047795960029,-3.650142230344204,322.191,12,cayley,5
-7.552047795960029,-3.650142230344204,322.192,12,cayley,5
-7.552047795960029,-3.650142230344204,322.192,12,cayley,5
-7.552047795960029,-3.650142230344204,322.192,12,cayley,5
-7.552047795960029,-3.650142230344204,322.192,12,cayley,5
-7.552047795960029,-3.650142230344204,322.193,12,cayley,5
-7.552047795960029,-3.650142230344204,322.193,12,cayley,5
-7.552047795960029,-3.650142230344204,322.193,12,cayley,5
-7.552047795960029,-3.650142230344204,322.193,12,cayley,5
-7.552047795960029,-3.650142230344204,322.194,12,cayley,5
-7.552047795960029,-3.650142230344204,322.194,12,cayley,5
-7.552047795960029,-3.650142230344204,322.194,12,cayley,5
-7.552047795960029,-3.650142230344204,322.194,12,cayley,5
-7.552047795960029,-3.650142230344204,322.194,12,cayley,5
-7.552047795960029,-3.650142230344204,322.195,12,cayley,5
-7.552047795960029,-3.650142230344204,322.195,12,cayley,5
-7.552047795960029,-3.650142230344204,322.195,12,cayley,5
-7.552047795960029,-3.650142230344204,322.195,12,cayley,5
-7.552047795960029,-3.650142230344204,322.196,12,cayley,5
-7.552047795960029,-3.650142230344204,322.205,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.206,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.206,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.207,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.207,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.207,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.207,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.208,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.208,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.208,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.208,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.208,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.209,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.209,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.209,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.209,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.21,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.21,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.21,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.21,12,cayley,5
-7.552047795960029,-3.6542495011788807,322.211,12,cayley,5
